[2025-01-27 00:22:37,328](main) Filepid(/run/user/1000/srv11.pid) exists, but the process is not started! Delete filepid
[2025-01-27 23:21:25,681](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A015 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08683d0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:21:59,138](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A117 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf0868fa0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:22:57,129](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A117 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf085dbe0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:31:09,056](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A117 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08888e0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:31:24,647](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A115 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08a4880>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:32:48,090](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A115 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf085be50>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:36:26,380](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A115 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf085bdf0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:37:53,856](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A113 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf086a130>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:38:24,012](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A116 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf085be50>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:38:54,912](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A116 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf0888910>: Failed to establish a new connection: [Errno 111] Connection refused')). 
